0,Albania
1,Algeria
2,Andorra
3,Angola
4,Argentina
5,Armenia
6,Aruba
7,Australia
8,Austria
9,Azerbaijan
10,Bahrain
11,Bangladesh
12,Barbados
13,Belarus
14,Belgium
15,Belize
16,Bolivia
17,Bosnia and Herzegovina
18,Botswana
19,Brazil
20,Brunei
21,Bulgaria
22,Canada
23,Chile
24,China
25,Colombia
26,Costa Rica
27,Croatia
28,Cuba
29,Curaçao
30,Cyprus
31,Czech Republic
32,Denmark
33,Dominican Republic
34,Ecuador
35,Egypt
36,El Salvador
37,Estonia
38,Faroe Islands
39,Finland
40,France
41,French Polynesia
42,Georgia
43,Germany
44,Gibraltar
45,Greece
46,Greenland
47,Guam
48,Guatemala
49,Guyana
50,Honduras
51,Hungary
52,Iceland
53,India
54,Indonesia
55,International
56,Iran
57,Iraq
58,Ireland
59,Israel
60,Italy
61,Jamaica
62,Japan
63,Jordan
64,Kazakhstan
65,Kenya
66,Korea, South
67,Kuwait
68,Kyrgyzstan
69,Laos
70,Latvia
71,Lebanon
72,Libya
73,Liechtenstein
74,Lithuania
75,Luxembourg
76,Macedonia (FYROM)
77,Madagascar
78,Malaysia
79,Maldives
80,Malta
81,Mauritius
82,Mexico
83,Moldova
84,Monaco
85,Mongolia
86,Montenegro
87,Morocco
88,Mozambique
89,Myanmar
90,Namibia
91,Nepal
92,Netherlands
93,New Caledonia
94,New Zealand
95,Nicaragua
96,Norway
97,Oman
98,Pakistan
99,Panama
100,Paraguay
101,Peru
102,Philippines
103,Poland
104,Portugal
105,Puerto Rico
106,Qatar
107,Reunion
108,Romania
109,Russia
110,San Marino
111,Saudi Arabia
112,Serbia
113,Singapore
114,Slovakia
115,Slovenia
116,South Africa
117,Spain
118,Sri Lanka
119,Suriname
120,Sweden
121,Switzerland
122,Syria
123,Taiwan
124,Tajikistan
125,Thailand
126,Trinidad and Tobago
127,Tunisia
128,Turkey
129,Turkmenistan
130,Uganda
131,Ukraine
132,United Arab Emirates
133,United Kingdom
134,United States
135,Uruguay
136,Uzbekistan
137,Venezuela
138,Vietnam
